date,usd_try,usd_eur
2026-07-07,46.84,0.87466
2026-07-08,46.84,0.87466
2026-07-10,46.985,0.87489
2026-07-11,46.985,0.87489
2026-07-12,46.985,0.87489
2026-07-13,46.993,0.87535
2026-07-16,47.055,0.87207
2026-07-18,47.142,0.87451
2026-07-21,47.181,0.8752
2026-07-23,47.235,0.87781
2026-07-27,47.355,0.87804
2026-07-30,47.413,0.87138
2026-08-01,47.525,0.8707
2026-08-02,47.525,0.8707
2026-08-04,47.536,0.86693
2026-08-05,47.556,0.86843
2026-08-06,47.595,0.8664
2026-08-07,47.706,0.86693
2026-08-08,47.706,0.86693
2026-08-09,47.706,0.86693
2026-08-11,47.695,0.86543
2026-08-12,47.757,0.86618
2026-08-14,47.884,0.86453
2026-08-15,47.884,0.86453
2026-08-16,47.884,0.86453
2026-08-20,47.935,0.8617
2026-08-24,48.081,0.85734
2026-08-27,48.117,0.85697
2026-08-28,48.131,0.85874
2026-08-30,48.245,0.85889
